IDX,WELGOS,MALE,FEMALE,DIF
14,Almighty Alchemizer,0.0,6.0,-6.0
38,Behavior Savior,0.0,5.0,-5.0
93,Damage Doctor,9.0,0.0,9.0
99,Delusion Detector,10.0,0.0,10.0
103,Demon Greeter,0.0,5.0,-5.0
104,Denial Denyer,8.0,1.0,7.0
186,I-Can-ographer,2.0,8.0,-6.0
191,Ill Feelings Illuminator,2.0,10.0,-8.0
207,Inner Soul X-Rayer,11.0,1.0,10.0
238,Lost Benefit Lamenter,13.0,1.0,12.0
249,Metta Motivator,0.0,6.0,-6.0
261,Motivation Moonbeamer ,0.0,5.0,-5.0
264,NEW LIFE / POSSIBILITIES,4.0,9.0,-5.0
268,NEW PATTERN PAINTER / support groups,0.0,5.0,-5.0
296,Placid Reflux,4.0,9.0,-5.0
307,Progress Pollinator,2.0,9.0,-7.0
316,RELATIONSHIPS / Build connections & community,3.0,11.0,-8.0
322,Reactions Auditor,4.0,9.0,-5.0
340,Self Control 101'r,4.0,10.0,-6.0
383,THOUGHTS / positivity,3.0,8.0,-5.0
392,The De-stress-calator,0.0,5.0,-5.0
400,The Dynamotivator,3.0,8.0,-5.0
457,Worthy Soulâ€™r,2.0,7.0,-5.0
